review_id,product_id,buyer_id,rating,comment,review_date
1,29,1,5,정말 뛰어난 품질이에요!,2024-10-11 9:14:22
2,3,1,4,가격 대비 성능이 훌륭해요.,2024-10-11 9:14:22
3,26,9,3,그럭저럭 쓸만한 제품이에요.,2024-10-11 12:35:45
4,2,47,5,다시 구매하고 싶을 정도로 좋아요!,2024-10-12 15:45:23
5,4,47,2,기대했던 것보다 많이 아쉬워요.,2024-10-12 15:45:23
6,33,59,4,사용하기 편리하고 좋았어요.,2024-10-13 9:24:11
7,21,59,1,전혀 만족스럽지 않았어요.,2024-10-13 9:24:11
8,8,3,3,평범한 제품이에요.,2024-10-13 11:55:33
9,35,43,5,모든 면에서 훌륭해요!,2024-10-14 14:14:58
10,1,43,4,재구매할 의사가 있어요.,2024-10-14 14:14:58
11,31,87,2,품질이 좀 떨어진다고 느껴져요.,2024-10-14 18:05:13
12,36,63,5,디자인이 매우 마음에 들어요!,2024-10-15 8:23:45
13,3,29,3,무난하게 사용할 수 있는 제품이에요.,2024-10-15 10:42:32
14,37,65,4,기능이 잘 작동해요.,2024-10-16 13:35:20
15,39,47,1,정말 실망스러운 경험이었어요.,2024-10-16 15:45:10
16,23,47,5,친구들에게 추천하고 싶어요!,2024-10-16 15:45:10
17,17,31,2,너무 비쌉니다.,2024-10-17 8:24:23
18,10,11,4,꽤 괜찮은 구매였어요.,2024-10-17 12:15:55
19,35,91,3,기대 이하의 성능이에요.,2024-10-17 17:45:14
20,45,91,5,완벽하게 만족합니다!,2024-10-17 17:45:14
21,15,75,1,이 제품은 정말 비추입니다.,2024-10-18 8:45:33
22,26,77,4,기능이 마음에 들어요.,2024-10-18 10:55:12
23,2,27,3,생각보다 별로였어요.,2024-10-18 12:34:33
24,33,5,2,다시는 구매하지 않을 것 같아요.,2024-10-18 13:15:45
25,26,5,5,매우 만족스러운 제품이에요!,2024-10-18 13:15:45
26,25,7,4,고급스러운 느낌이 좋아요.,2024-10-18 14:24:55
27,26,33,3,괜찮지만 아쉬운 점이 있어요.,2024-10-18 15:36:44
28,10,33,5,최고의 선택이었어요!,2024-10-18 15:36:44
29,1,51,1,이 가격에 이 품질은 아닌 것 같아요.,2024-10-18 16:23:55
30,22,95,4,제품이 잘 작동합니다!,2024-10-18 17:33:12
31,13,73,2,품질이 많이 아쉬워요.,2024-10-18 18:22:33
32,36,35,3,다시 생각해봐야 할 것 같아요.,2024-10-19 9:44:12
33,33,35,5,정말 마음에 드는 제품이에요!,2024-10-19 9:44:12
34,4,67,4,매우 유용하게 사용하고 있어요.,2024-10-19 10:22:10
35,49,13,1,실망스러운 구매였어요.,2024-10-19 11:14:34
36,20,13,5,기대 이상으로 좋았어요!,2024-10-19 11:14:34
37,13,81,3,평균적인 성능이에요.,2024-10-19 12:35:45
38,4,81,4,전반적으로 만족스러웠어요.,2024-10-19 12:35:45
39,21,83,2,좀 더 나은 품질을 원해요.,2024-10-19 14:25:55
40,26,45,5,완벽한 제품입니다!,2024-10-19 15:45:22
41,30,89,4,추천할 만한 제품이에요.,2024-10-20 9:35:12
42,10,89,3,기대한 것만큼은 아니에요.,2024-10-20 9:35:12
43,33,57,5,친구들에게 강력 추천할게요!,2024-10-20 11:23:45
44,48,57,1,완전히 실망스러웠어요.,2024-10-20 11:23:45
45,13,15,4,사용하기 매우 편리해요.,2024-10-20 12:55:34
46,42,61,2,품질이 별로에요.,2024-10-20 14:22:33
47,31,97,3,나쁘지 않지만 기대 이하였어요.,2024-10-20 15:34:22
48,3,97,5,정말 만족스러운 구매였어요!,2024-10-20 15:34:22
49,40,25,4,잘 만든 제품이에요!,2024-10-20 16:23:55
50,36,37,2,가격이 너무 비쌉니다.,2024-10-21 8:23:33
51,33,71,3,나름 괜찮은 제품이에요.,2024-10-21 9:44:55
52,39,71,5,훌륭한 선택이었어요!,2024-10-21 9:44:55
53,24,19,4,가격 대비 성능이 좋았어요.,2024-10-21 11:15:33
54,40,19,1,전혀 추천하고 싶지 않아요.,2024-10-21 11:15:33
55,36,79,5,다신 이 제품을 구매할 거예요!,2024-10-21 12:35:22
56,37,39,3,그냥 그런 제품이에요.,2024-10-21 14:23:12
57,19,39,4,꽤 만족스럽습니다.,2024-10-21 14:23:12
58,4,53,2,다시는 구매하고 싶지 않아요.,2024-10-21 15:34:55
59,38,69,5,품질이 기대 이상이에요!,2024-10-22 9:23:22
60,7,21,4,여러모로 만족스러웠어요.,2024-10-22 10:44:45
61,37,41,3,좋은 제품이지만 개선이 필요해요.,2024-10-22 12:23:34
62,4,85,5,여러 번 사용해도 질리지 않아요.,2024-10-22 14:33:22
63,50,55,4,사용하기 정말 편리해요!,2024-10-22 16:23:12
64,33,93,1,최악의 제품이었어요.,2024-10-23 9:35:22
65,27,23,5,제품에 대해 정말 만족해요!,2024-10-23 11:34:45
66,42,23,2,마음에 들지 않는 제품이에요.,2024-10-23 11:34:45
67,42,99,3,무난한 성능이지만 개선이 필요해요.,2024-10-23 13:23:33
68,48,1,5,모든 면에서 대만족이에요!,2024-10-23 14:45:12
69,19,1,4,재구매 의사가 충분히 있어요.,2024-10-23 14:45:12
70,18,9,3,가격 대비 괜찮은 제품이에요.,2024-10-23 15:34:45
71,45,47,5,기대 이상으로 좋았습니다!,2024-10-24 9:34:22
72,31,47,4,다양한 용도로 사용하고 있어요.,2024-10-24 9:34:22
73,11,59,1,실망스러웠어요.,2024-10-24 11:22:55
74,28,3,5,항상 믿고 사용하는 제품이에요!,2024-10-24 12:35:12
75,42,43,3,괜찮지만 아쉬운 점이 있어요.,2024-10-24 14:15:33
76,1,87,4,만족스럽게 사용하고 있어요.,2024-10-24 15:44:55
77,12,87,2,별로 추천하고 싶지 않아요.,2024-10-24 15:44:55
78,19,63,3,제품에 대해 그럭저럭 만족해요.,2024-10-25 8:44:22
79,32,29,5,정말 좋은 품질이에요!,2024-10-25 9:35:55
80,49,65,4,가격이 적당하고 좋았어요.,2024-10-25 11:15:12
81,15,47,3,평균적인 성능이에요.,2024-10-25 12:35:33
82,7,47,4,다시 구매하고 싶어요!,2024-10-25 12:35:33
83,26,31,5,정말 기분 좋은 구매였어요!,2024-10-25 14:25:44
84,48,11,4,사용하기 편리하고 만족스러웠어요.,2024-10-25 16:33:12
85,9,11,3,괜찮은 제품이지만 개선이 필요해요.,2024-10-25 16:33:12
86,18,91,2,품질이 기대 이하예요.,2024-10-26 9:34:22